niche,cluster,PC1,PC2,pattern,stability,biological_name,compartment_class,key_cell_types,functional_program,spatial_context,published_response,evidence_level,source
N0,1,2.920458652223499,1.2783490844435441,Primary/recurrent tissue architecture,1.0,Subset-specific tumour,Tumour,Tumour cells; no unique assignment,Tumour-associated programme,Restricted to a subset of tumours,Low prevalence; variable between samples,"Published, limited assignment",https://doi.org/10.1038/s41467-026-74125-6
N1,2,-5.459514511188507,-0.19537990646589676,MRD-associated immune-stromal remodelling,1.0,Macrophage-rich niche,Immune TME,Macrophages and monocytes,Myeloid defence; TREM2/APOE signalling,Immune-rich tumour microenvironment,Enriched during residual disease,Published,https://doi.org/10.1038/s41467-026-74125-6
N10,1,4.550279312201245,-3.5017349781720424,Primary/recurrent tissue architecture,1.0,Hypoxic tumour,Tumour,Hypoxic tumour cells,Hypoxia; glycolysis; metabolic stress; VEGFA/CD44,Adjacent to necrotic cores,Strongly depleted during residual disease,Published and functionally investigated,https://doi.org/10.1038/s41467-026-74125-6
N11,2,-2.6011150460186383,2.001291653108255,MRD-associated immune-stromal remodelling,1.0,Activated immune niche,Immune TME,Activated immune cells and macrophages,Defence response and complement signalling,Immune-rich residual-tumour regions,Strongly enriched during residual disease,Published,https://doi.org/10.1038/s41467-026-74125-6
N12,2,-4.032962953649719,1.7206926736750183,MRD-associated immune-stromal remodelling,1.0,Plasma-cell/humoral niche,Immune TME,Plasma cells and B-lineage cells,B-cell activation and humoral immune response,Plasmacytic cell aggregates,"Enriched during residual disease, especially after TAC",Published,https://doi.org/10.1038/s41467-026-74125-6
N2,1,2.114592389432422,-1.5837427704561755,Primary/recurrent tissue architecture,1.0,EMT tumour niche,Tumour,Luminal-alveolar EMT tumour cells,EMT; motility; adhesion; plasticity,Dispersed tumour foci without a fixed location,Persists during treatment; drug-tolerant state,Published and functionally investigated,https://doi.org/10.1038/s41467-026-74125-6
N4,1,2.10362238016128,0.7221360225624511,Primary/recurrent tissue architecture,1.0,Fibrotic reactive stroma,Stromal TME,Fibroblasts and connective-tissue cells,Collagen and extracellular-matrix organisation,Fibrotic stroma proximal to tumour cells,Remodelled during residual disease,Published,https://doi.org/10.1038/s41467-026-74125-6
N5,1,6.352169084244384,2.010337080307145,Primary/recurrent tissue architecture,1.0,Proliferating tumour,Tumour,Proliferating and basal tumour cells,Cell cycle; DNA replication; E2F/MYC,Large regions of the primary tumour mass,Strongly depleted during residual disease,Published and functionally investigated,https://doi.org/10.1038/s41467-026-74125-6
N7,2,-3.919427002727552,0.6915072651373625,MRD-associated immune-stromal remodelling,1.0,Fibro-inflammatory TME,Stromal/immune TME,Fibroblasts with immune infiltration,Connective-tissue and complement-associated programmes,Intermediate stromal-to-immune compartment,Expanded with TME remodelling during MRD,"Published, mixed assignment",https://doi.org/10.1038/s41467-026-74125-6
N8,1,2.4358003673569804,0.14739832962721508,Primary/recurrent tissue architecture,1.0,Chemo-depleted tumour,Tumour,Tumour cells; no unique assignment,Tumour-associated programme,Tumour compartment present before treatment,Selectively lost after chemotherapy,"Published, limited assignment",https://doi.org/10.1038/s41467-026-74125-6
N9,2,-4.463902672035395,-3.290854453766875,MRD-associated immune-stromal remodelling,1.0,Contractile stroma,Stromal TME,Smooth-muscle and stromal cells,Contractile and structural programmes,Smooth-muscle-enriched stromal regions,Expanded with stromal remodelling during MRD,Published,https://doi.org/10.1038/s41467-026-74125-6
